"site","latitude","longitude"
"G1H037",-33.6351,19.00772
"G1H038",-33.94416,19.02638
"G1H039",-33.53777,18.92111
"G1H040",-33.35638,18.95611
"G1H041",-33.47972,18.9775
"G1H042",-33.95286,18.97855
"G1H043",-33.16111,18.89222
"G1H060",-33.94416,19.02611
"G1H063",-33.95305,18.97861
"G1H064",-33.95277,18.97861
"G1H076",-33.95577,19.07288
"G1H078",-33.87358,18.98213
"G1H079",-33.33419,18.96791
"G1H080",-33.8524,19.04251
"G2H001",-33.90369,18.85271
"G2H002",-33.9623,18.93049
"G2H006",-33.96397,18.93549
"G2H008",-33.98647,18.95577
"G2H011",-34.07118,18.77021
"G2H012",-33.46388,18.74027
"G2H013",-33.70509,18.69993
"G2H014",-33.78981,18.54881
"G2H015",-34.03083,18.74777
"G2H016",-34.08702,18.85799
"G2H018",-33.58204,18.36214
"G2H019",-33.94369,18.84354
"G2H020",-33.9498,18.83854
"G2H021",-33.9423,18.67354
"G2H029",-34.10027,18.82166
"G2H037",-33.98472,18.95333
"G2H040",-34.00277,18.76305
"G2H042",-33.72277,18.61666
"G2H044",-34.09619,18.8295
"G3H001",-32.60194,18.74972
"G3H005",-32.65153,18.63549
"G4H002",-34.34007,19.63273
"G4H003",-34.1934,18.98605
"G4H004",-34.44089,19.46967
"G4H005",-34.19722,18.98055
"G4H006",-34.40527,19.59611
"G4H007",-34.32944,18.98833
"G4H008",-34.15368,19.13577
"G4H009",-34.16618,19.13272
"G4H010",-34.17452,19.12633
"G4H011",-34.12341,19.03271
"G4H012",-34.14868,19.14244
"G4H013",-34.16229,19.13494
"G4H014",-34.23527,19.21527
"G4H030",-34.26916,19.02222
"G4H033",-34.35888,19.25388
"G5H003",-34.49423,20.12191
"G5H004",-34.45663,20.00622
"G5H005",-34.57172,20.11552
"G5H006",-34.51728,19.97635
"G5H007",-34.45261,20.00491
"G5H008",-34.29166,20.02277
"H1H002",-33.68482,19.33384
"H1H003",-33.38055,19.30166
"H1H004",-33.5626,19.34078
"H1H005",-33.60871,19.31717
"H1H006",-33.42166,19.26722
"H1H007",-33.56861,19.145
"H1H008",-33.69426,19.31439
"H1H009",-33.69361,19.32444
"H1H010",-33.67232,19.33912
"H1H011",-33.64371,19.11133
"H1H012",-33.75676,19.32995
"H1H013",-33.35972,19.29833
"H1H014",-33.43483,19.40412
"H1H015",-33.68426,19.42134
"H1H016",-33.42094,19.47801
"H1H017",-33.73342,19.11439
"H1H018",-33.72472,19.16972
"H1H019",-33.5851,19.22467
"H1H020",-33.55816,19.43551
"H1H033",-33.73666,19.11472
"H2H001",-33.56232,19.51023
"H2H003",-33.6001,19.50857
"H2H004",-33.48555,19.52916
"H2H005",-33.46166,19.6175
"H2H006",-33.57083,19.50611
"H2H008",-33.33055,19.64166
"H2L001",-33.49722,19.49444
"H2L002",-33.40833,19.70138
"H2L003",-33.52083,19.4875
"H3H001",-33.7912,20.12414
"H3H002",-33.82037,20.31609
"H3H003",-33.8637,20.37137
"H3H004",-33.69649,19.9283
"H3H005",-33.70888,20.05861
"H3H006",-33.70176,20.12247
"H3H008",-33.7101,20.11664
"H3H009",-33.88953,20.33498
"H3H010",-33.70649,20.11831
"H3H011",-33.87166,20.00222
"H4H001",-33.83065,19.83274
