"site","latitude","longitude"
"04FC001",53.09131,-85.07225
"04FC002",52.93225,-83.36764
"04FC003",52.86667,-86.24056
"04GA002",51.17378,-91.59458
"04GA003",51.0374,-90.19796
"04GB004",50.86842,-88.93161
"04GB005",49.61131,-90.58081
"04GC002",51.36658,-89.42228
"04GD001",51.64153,-86.391
"04HA001",51.33056,-83.83333
"04HA002",51.85381,-82.97542
"04HA003",51.93056,-82.01553
"04JC002",49.77289,-84.53694
"04JD005",49.76419,-85.22619
"04JD006",49.69208,-86.88125
"04JF001",50.66119,-86.53625
"04JG001",50.42286,-84.38153
"04KA001",51.16083,-80.86394
"04LA002",48.40431,-81.44836
"04LA003",48.32972,-81.58017
"04LA004",48.34506,-81.33264
"04LA005",47.71519,-81.61261
"04LA006",47.49611,-81.84878
"04LB002",48.62664,-81.63033
"04LC002",48.18275,-82.50111
"04LC003",48.25021,-82.44381
"04LD001",49.31084,-82.04143
"04LE002",47.93817,-83.06069
"04LF001",49.41442,-82.43994
"04LG004",50.75158,-81.45139
"04LJ001",49.61108,-83.26778
"04LK001",49.68281,-83.6568
"04LM001",50.58544,-82.091
"04MB002",48.64457,-80.67467
"04MB005",48.29289,-80.54489
"04MD004",48.55014,-81.05431
"04MD005",48.47833,-81.19025
"04ME003",50.60292,-81.41464
"04ME005",49.97203,-81.51203
"04MF001",51.07672,-80.76408
"05AA004",49.4864,-113.94769
"05AA008",49.59732,-114.41064
"05AA011",49.46951,-114.13424
"05AA022",49.48866,-114.14438
"05AA024",49.55781,-113.82272
"05AA027",49.83779,-114.42059
"05AA028",49.39745,-114.3399
"05AA030",49.60185,-114.40054
"05AA032",49.61204,-114.05328
"05AA033",49.49232,-113.92651
"05AA034",49.30934,-114.0751
"05AA035",49.72769,-114.08649
"05AB005",49.97735,-113.68603
"05AB019",49.68706,-113.57692
"05AB021",50.01852,-113.71484
"05AB029",49.95413,-113.66354
"05AB037",50.20184,-114.19006
"05AB040",50.24177,-114.35117
"05AB041",50.1291,-113.84663
"05AB042",50.128,-113.78713
"05AB044",50.12167,-113.74902
"05AB045",50.12018,-113.75108
"05AC003",50.12765,-113.11819
"05AC012",50.1712,-112.72277
"05AC017",50.21455,-112.66189
"05AC023",49.89987,-112.50553
"05AC030",50.47247,-112.91402
"05AC031",50.25185,-113.55414
"05AD003",49.11366,-113.8394
"05AD005",49.0996,-113.69772
"05AD007",49.70942,-112.86288
"05AD010",49.29441,-113.79424
"05AD013",49.21804,-113.63324
"05AD017",49.07972,-113.68889
"05AD021",49.33607,-113.55406
"05AD025",49.0536,-113.90705
"05AD026",49.32023,-113.68416
"05AD027",49.32703,-113.63383
"05AD028",49.43336,-113.48478
"05AD035",49.56628,-112.95427
"05AD037",49.83062,-112.76438
"05AD041",49.35212,-113.48044
"05AD042",49.23194,-113.96078
"05AE002",49.19971,-113.29652
"05AE005",49.12501,-113.14256
"05AE006",49.57346,-112.84671
"05AE016",49.56554,-112.82741
"05AE021",49.34839,-113.05515
