gauge_id,station_name,station_name_local,river,latitude,longitude,altitude,area,country,source,station_code,station_type,agency,basin,province,district,subdistrict,vertical_datum
2572,บ้านลุ่มสุ่ม,บ้านลุ่มสุ่ม,แม่น้ำแควน้อย,14.09243,99.178993,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),K.10,tele_waterlevel,Royal Irrigation Department,Mae Klong Basin,Kanchanaburi,Sai Yok District,Lum Sum,MSL
2573,บ้านน้ำโจน,บ้านน้ำโจน,ห้วยแม่น้ำน้อย,14.43409,98.80909,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),K.31,tele_waterlevel,Royal Irrigation Department,Mae Klong Basin,Kanchanaburi,Sai Yok District,Sai Yok,MSL
2575,ประปายโสธร,ประปายโสธร,แม่น้ำชี,15.79962,104.134857,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),E.2A,tele_waterlevel,Royal Irrigation Department,Chi Basin Basin,Yasothon,Mueang Yasothon District,Nai Mueang,MSL
2576,ต.ตาลเดี่ยว,ต.ตาลเดี่ยว,แม่น้ำป่าสัก,16.78153,101.246674,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),S.3,tele_waterlevel,Royal Irrigation Department,Pasak Basin,Phetchabun,Lom Sak District,Tan Diao,MSL
2578,บ้านสบวิน,บ้านสบวิน,น้ำแม่วาง,18.65423,98.685661,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),P.82,tele_waterlevel,Royal Irrigation Department,Ping Basin,Chiang Mai,Mae Wang District,Mae Win,MSL
2579,บ้านร่องเคาะ,บ้านร่องเคาะ,แม่น้ำวัง,18.990931,99.621109,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),W.25,tele_waterlevel,Royal Irrigation Department,Wang Basin,Lampang,Wang Nuea District,Rong Kho,MSL
2580,บ้านโป่งปูเฟือง,บ้านโป่งปูเฟือง,น้ำแม่ลาว,19.652571,99.538017,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),G.10,tele_waterlevel,Royal Irrigation Department,North Khong Basin,Chiang Rai,Mae Suai District,Mae Saruai,MSL
2581,บ้านซากอ,บ้านซากอ,แม่น้ำสายบุรี,6.22716,101.496948,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),X.184,tele_waterlevel,Royal Irrigation Department,Peninsula - Lower East Coast Basin,Narathiwat,Si Sakhon District,Si Sakhon,MSL
2582,บ้านตันหยงมัส,บ้านตันหยงมัส,คลองตันหยงมัส,6.33992,101.726959,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),X.73,tele_waterlevel,Royal Irrigation Department,Peninsula - Lower East Coast Basin,Narathiwat,Ra-ngae District,Tanyong Mat,MSL
2583,บ้านท่าสาบ,บ้านท่าสาบ,แม่น้ำปัตตานี,6.552798,101.266294,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),X.40A,tele_waterlevel,Royal Irrigation Department,Peninsula - Lower East Coast Basin,Yala,Mueang Yala District,Sateng,MSL
2584,บ้านฉลุงเหนือ,บ้านฉลุงเหนือ,คลองน้ำพระ,6.72662,100.062737,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),X.239,tele_waterlevel,Royal Irrigation Department,Peninsula - West Coast Basin,Satun,Mueang Satun District,Chalung,MSL
2585,บ้านม่วงก็อง,บ้านม่วงก็อง,คลองอู่ตะเภา,6.79663,100.442337,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),X.173A,tele_waterlevel,Royal Irrigation Department,Thale Sap Songkhla Basin,Songkhla,Sadao District,Phang La,MSL
2587,สะพานเดชานุชิต,สะพานเดชานุชิต,แม่น้ำปัตตานี,6.866,101.252129,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),X.10A,tele_waterlevel,Royal Irrigation Department,Peninsula - Lower East Coast Basin,Pattani,Mueang Pattani District,A Noru,MSL
