gauge_id,latitude,longitude
17G/03H,39.465,-8.343
27L/01H,37.803,-7.633
31L/01H,37.1244638,-7.6436527
11H/04H,40.362,-8.213
07L/03H,41.144,-7.64
17G/06H,39.443,-8.447
21A/04H,38.75,-9.367
06K/02H,41.171,-7.795
06O/08H,41.20815719,-7.05988327
06O/03H,41.208,-7.059
21A/07H,38.736814,-9.421244
08L/04H,40.888,-7.512
08L/01H,40.889,-7.513
02O/01H,41.9365318,-7.15759459
03G/06H,41.814,-8.381
03G/03H,41.814,-8.381
17M/01H,39.357,-7.376
19O/01H,39.083,-7.027
04G/06H,41.561,-8.45
03N/01H,41.749,-7.174
09J/02H,40.761,-7.977
03M/05H,41.834,-7.393
09H/03H,40.74,-8.33
10G/03H,40.566,-8.398
17D/01H,39.338,-8.953
07G/03H,41.049,-8.381
27L/05H,37.683,-7.66
27L/03H,37.682,-7.661
15O/01H,39.669,-7.021
19B/02H,39.093,-9.252
07K/04H,41.154,-7.782
07K/01H,41.154,-7.782
11O/01H,40.349,-7.094
25N/02H,38.151558,-7.235705
03I/02H,41.696,-8.081
28G/01H,37.51,-8.473
06O/05H,41.328,-7.029
17H/01H,39.464,-8.302
25G/01H,38.11,-8.361
05K/01H,41.498,-7.754
29G/01H,37.34,-8.39
07L/02H,41.163,-7.508
12I/02H,40.249,-8.037
01G/04H,42.049,-8.39
15P/02H,39.815,-6.983
15P/01H,39.815,-6.983
05S/02H,41.386,-6.386
21B/04H,38.721,-9.25
06O/06H,41.292,-7.079
09G/03H,40.677,-8.441
11I/09H,40.379,-8.022
31K/02H,37.167,-7.706
11I/10H,40.4543218,-8.046403101
11I/08H,40.454,-8.046
17B/01H,39.347,-9.1891
13F/05H,40.059,-8.63
24H/01H,38.296,-8.316
10H/02H,40.597,-8.237
29G/02H,37.3597872,-8.3753722
04S/02H,41.63232582,-6.35536967
24G/02H,38.252,-8.359
17G/04H,39.456,-8.414
07G/02H,41.062,-8.458
29M/01H,37.364,-7.486
02H/01H,41.94,-8.234
03I/01H,41.75,-8.079
03I/03H,41.75,-8.08
17C/02H,39.46,-9.12
12G/07H,40.192,-8.386
24H/03H,38.299,-8.229
17H/02H,39.452,-8.226
10M/02H,40.51,-7.359
16C/01H,39.582,-9.023
24H/02H,38.306,-8.291
30H/03H,37.284,-8.293
18G/03H,39.18,-8.423
11I/04H,40.391,-8.165
19F/02H,39.067,-8.608
09O/01H,40.802,-7.019
03K/01H,41.71,-7.71
06L/02H,41.235,-7.536
08O/04H,40.908,-7.138
08O/01H,40.908,-7.138
06M/03H,41.177,-7.381
28L/02H,37.52,-7.579
12F/03H,40.169,-8.63
20L/01H,38.947,-7.507
03J/05H,41.681,-7.985
23K/01H,38.46,-7.678
10M/03H,40.505,-7.379
30F/02H,37.204,-8.606
15E/07H,39.72434614,-8.788733301
04K/02H,41.55,-7.762
03G/04H,41.813,-8.35
09L/01H,40.681,-7.612
10L/02H,40.585,-7.542
20D/01H,38.953,-8.983
13F/03H,40.107,-8.641
11G/01H,40.412,-8.398
16K/01H,39.647,-7.678
08L/02H,40.989,-7.534
03M/04H,41.832,-7.427
05N/01H,41.387,-7.203
03H/03H,41.763,-8.213
04R/02H,41.588,-6.559
03P/01H,41.81,-6.995
05H/01H,41.372,-8.315
05H/02H,41.375,-8.265
09K/01H,40.771,-7.807
19O/02H,39.11722264,-7.03942698
22E/01H,38.57,-8.733
23M/02H,38.39766285,-7.34316167
17C/03H,39.361,-9.152
18E/04H,39.224,-8.675
