,obsnm,station_name,gauge_id,mggvcd,bbsncd,sbsncd,obsopndt,obskdcd,river,area,rvwdt,bedslp,rvmjctdis,wsrdis,addr,longitude_dms,latitude_dms,tmx,tmy,altitude,wltel,tdeyn,mxgrd,sistartobsdh,siendobsdh,olstartobsdh,olendobsdh,longitude,latitude,country,source
772,부산시(신평동),Busansi(Sinpyeongdong),2302695,한국수자원공사,회야ㆍ수영,230206,1988-01-01,T/M,,102.7,0,0,0,0,부산광역시 사하구 신평동 1번지,128-57-14,35-05-28 ,378181,178950,-0.345,4.588,Y,2.5,1987060120,2025111001,19870601,20251110,128.95388888888888,35.09111111111111,South Korea,WAMIS Open API
773,울진군(올미골교),Uljingun(Olmigolgyo),2401613,기후에너지환경부,낙동강동해,240102,2022-07-27,T/M,남대천,104.17,,,6.69,,경상북도 울진군 울진읍 정림리 911-4(올미골교),129-19-31,37-01-51 ,406909,394964,49.84,55.31,N,,2022072816,2025111001,20220728,20251110,129.32527777777779,37.030833333333334,South Korea,WAMIS Open API
774,울진군(월변교),Uljingun(Wolbyeongyo),2401616,기후에너지환경부,낙동강동해,240102,2022-03-02,T/M,남대천,107.84,136,,1.95,,경상북도 울진군 울진읍 읍내리 105-12 (월변교),129-24-05,36-59-20 ,413800,390476,2.392,27.3,N,,2022021811,2025111001,20220218,20251110,129.4013888888889,36.98888888888889,South Korea,WAMIS Open API
775,울진군(구산리),Uljingun(Gusanri),2401620,한국수자원공사,낙동강동해,240106,1996-12-26,T/M,왕피천,513.2,,,5,,경상북도 울진군 근남면 구산리 450-4,129-22-23,36-57-06 ,411380,386281,7.96,12.95,N,6,2002101511,2025111001,19990601,20251110,129.37305555555557,36.95166666666667,South Korea,WAMIS Open API
776,영양군(수하3교),Yeongyanggun(Suha3gyo),2401633,기후에너지환경부,낙동강동해,240103,2024-01-09,T/M,장수포천,123.55,,,43.87,,경상북도 영양군 수비면  수하리 297-1 (수하3교),129-16-08,36-49-48 ,402421,372550,291.597,300.356,N,,2024020212,2025111001,20240202,20251110,129.2688888888889,36.830000000000005,South Korea,WAMIS Open API
777,울진군(천전교),Uljingun(Cheonjeongyo),2401640,기후에너지환경부,낙동강동해,240105,2025-01-01,T/M,광천,174.15,,,1.64,,경상북도 울진군 근남면  행곡리 670-1,129-22-07,36-58-23 ,410925,388646,6.418,16.345,N,,2025010100,2025111001,20241231,20251110,129.3686111111111,36.973055555555554,South Korea,WAMIS Open API
778,울진군(기성교),Uljingun(Giseonggyo),2401641,기후에너지환경부,낙동강동해,240107,2025-01-01,T/M,척산천,60.33,,,1.48,,경상북도 울진군 기성면  정명리 87-2,129-26-57,36-47-29 ,418618,368662,1.769,9.999,N,,2025010100,2025111001,20241231,20251110,129.44916666666668,36.79138888888889,South Korea,WAMIS Open API
779,울진군(수산교),Uljingun(Susangyo),2401650,기후에너지환경부,낙동강동해,240106,2017-01-01,T/M,왕피천,509.83,290,,1.47,,경상북도 울진군 근남면 노음리 322-2(수산교),129-23-53,36-57-57 ,413546,387786,-1.975,8.59,N,,2017010100,2025111001,20161231,20251110,129.39805555555554,36.965833333333336,South Korea,WAMIS Open API
780,울진군(광품교),Uljingun(Gwangpumgyo),2401660,기후에너지환경부,낙동강동해,240108,2025-01-01,T/M,남대천,122.03,,,8.69,,경상북도 울진군 온정면  광품리 산 171,129-24-29,36-43-18 ,415142,360829,19.551,26.336,N,,2025010100,2025111001,20241231,20251110,129.40805555555556,36.72166666666667,South Korea,WAMIS Open API
781,영덕군(인량교),Yeongdeokgun(Illyanggyo),2401690,기후에너지환경부,낙동강동해,240110,2016-01-01,T/M,송천,237.1,,,6.17,,경상북도 영덕군 창수면 인량리 606-40(인량교),129-22-38,36-32-56 ,412862,341582,6.44,13.29,N,,2016010100,2025111001,20151231,20251110,129.37722222222223,36.54888888888889,South Korea,WAMIS Open API
782,묘곡,Myo Gok,2401691,한국농어촌공사,낙동강동해,240110,2010-12-16,T/M,,35.3,,,3.7,,경상북도 영덕군 영해면 묘곡리 114,129-21-17,36-31-35 ,410908,339035,,,N,,,,,,129.35472222222222,36.52638888888889,South Korea,WAMIS Open API
783,영덕군(만세교),Yeongdeokgun(Mansegyo),2402609,기후에너지환경부,낙동강동해,240202,2025-01-01,T/M,영덕오십천,90.39,,,20.62,,경상북도 영덕군 지품면  눌곡리 25-6,129-17-29,36-26-17 ,405468,329094,50.145,58.135,N,,2025010100,2025111001,20241231,20251110,129.2913888888889,36.43805555555555,South Korea,WAMIS Open API
784,용연,Yong Yeon,2402610,한국농어촌공사,낙동강동해,240207,2016-12-07,T/M,,68.92,,,7.9,,경상북도 포항시 북구 신광면 호리 93,129-18-03,36-07-08 ,407157,293689,,,N,,,,,,129.30083333333334,36.11888888888889,South Korea,WAMIS Open API
785,영덕군(대지리),Yeongdeokgun(Daejiri),2402620,한국수자원공사,낙동강동해,240203,1996-12-26,T/M,대서천,102.7,,,5.4,,경상북도 영덕군 달산면 대지리 881-13,129-18-27,36-23-35 ,407032,324133,55.84,60.98,N,5,2002120316,2025111001,19990601,20251110,129.3075,36.393055555555556,South Korea,WAMIS Open API
