,gauge_id,station_name,river,latitude,longitude,altitude,area,country,source
1237,5002666,Jangsugun(Suyangjeosuji),삼계천,35.228611111111114,126.67916666666667,0.0,33.66,Korea,WAMIS Open API
1238,5002667,Suyang,,35.22888888888889,126.67916666666667,,33.0,Korea,WAMIS Open API
1239,5002670,Jangseonggun(Juktangyo),평림천,35.25277777777778,126.69972222222222,51.02,,Korea,WAMIS Open API
1240,5002673,Jangseonggun(Susanri),,35.308611111111105,126.66583333333334,112.22,,Korea,WAMIS Open API
1241,5002677,Gwangju(Pyungrimgyo),평림천,35.165277777777774,126.69,21.692,94.96,Korea,WAMIS Open API
1242,5002680,Jangseonggun(Pyeonglimdam),,35.282222222222224,126.68416666666667,0.0,,Korea,WAMIS Open API
1243,5002690,Gwangju(Jangrokgyo),황룡강,35.134166666666665,126.785,8.246,555.08,Korea,WAMIS Open API
1244,5003602,Hwasungun(Silligyo),청풍천,34.87138888888889,126.97805555555556,88.25,15.27,Korea,WAMIS Open API
1245,5003604,Hwasungun(Secheonggyo),지석천,34.890277777777776,126.98694444444445,71.2,,Korea,WAMIS Open API
1246,5003605,Hwasungun(Yongdugyo),지석천,34.94027777777777,126.98277777777778,48.802,144.67,Korea,WAMIS Open API
1247,5003606,Hwasungun(Hanjigyo),,34.91027777777778,126.98083333333334,63.952,,Korea,WAMIS Open API
1248,5003607,Hwasungun(Guipgyo),,34.93222222222222,126.98694444444445,57.078,,Korea,WAMIS Open API
1249,5003610,Hwasungun(Neungjugyo),지석천,34.996944444444445,126.96027777777778,33.426,229.54,Korea,WAMIS Open API
1250,5003612,Hwasungun(Singiri2),만연천,35.06777777777778,126.99,82.45,4.83,Korea,WAMIS Open API
1251,5003613,Hwasungun(Samcheongyo),화순천,35.051111111111105,126.98583333333333,45.854,127.42,Korea,WAMIS Open API
1252,5003615,Hwasungun(Judogyo),화순천,35.032777777777774,126.9475,33.951,118.78,Korea,WAMIS Open API
1253,5003620,Hwasungun(Sinseonggyo),지석천,35.00361111111111,126.89611111111111,19.648,410.45,Korea,WAMIS Open API
1254,5003640,Najusi(Najudam),지석천,34.96388888888889,126.84444444444443,0.0,85.18,Korea,WAMIS Open API
1255,5003650,Najusi(Usangyo),대초천,34.983333333333334,126.8825,25.569,115.73,Korea,WAMIS Open API
1256,5003680,Najusi(Nampyeonggyo),지석천,35.04944444444444,126.84527777777777,11.15,585.1,Korea,WAMIS Open API
1257,5004620,Gwangju(Seungyonggyo),영산강,35.071111111111115,126.77222222222223,3.871,1324.43,Korea,WAMIS Open API
1258,5004625,Najusi(Geumdongkyo),장성천,35.07527777777778,126.72805555555556,4.24,36.24,Korea,WAMIS Open API
1259,5004630,Seungchonbo(Haryu),영산강,35.06333333333333,126.75972222222222,-1.22,1333.86,Korea,WAMIS Open API
1260,5004645,Najusi(Dongchangkyo),만봉천,34.92055555555555,126.74777777777778,26.65,16.31,Korea,WAMIS Open API
