gauge_id,gauge_name,river,longitude,latitude,area
8650,Šmihel,Lijak,13.7201076826,45.9565777826,0.41
8660,Volčja Draga,Lijak,13.6879098101,45.8999968833,53.55
8670,Bezovljak,Vogršček,13.726277015,45.9052274319,11.16
8680,Neblo,Reka,13.4945601325,46.0000464735,29.94
8690,Golo Brdo,Idrija,13.5020086843,46.0536686927,57.44
8700,Neblo,Kožbanjšček,13.5090683746,46.0031252941,15.01
8710,Potoki,Nadiža,13.5058718267,46.2488973243,95.03
8730,Robič,Nadiža,13.5134222764,46.2450004828,100.58
9010,Zabiče,Reka,14.3476053689,45.5150790972,18.07
9015,Trpčane,Reka,14.3276931721,45.5253309613,28.83
9020,Koseze,Reka,14.2466047423,45.5583746235,50.99
9030,Trnovo,Reka,14.2311420259,45.5734174937,138.88
9040,Topolc,Reka,14.2166496261,45.5844511988,
9050,Cerkvenikov Mlin,Reka,14.0655339941,45.6551651327,332.12
9060,Škoflje,Reka,14.0290447056,45.6569846336,390.2
9070,Vreme,Reka,14.0267163702,45.6580447258,342.59
9077,Škocjan II,Reka,14.0021310046,45.6657969148,88888.88
9078,Škocjan I,Reka,14.0017452085,45.6658385399,88888.88
9080,Škocjan,Reka,14.0010345837,45.6661023021,
9090,Velika dolina,Reka,,,
9100,Ilirska Bistrica,Bistrica,14.2464567295,45.5646551951,23.92
9108,Zarečica,Molja,14.2338487584,45.5515222602,44.42
9110,Ostrovica,Padež,14.0631779016,45.603274124,7.78
9120,Suhorje III,Padež,14.0963274498,45.6387283097,41.96
9130,Suhorje II,Padež,14.0959368393,45.6390851891,
9140,Suhorje I,Padež,14.0954208467,45.6392610882,
9150,Suhorje,Padež,14.094775128,45.6395259517,
9160,Brezovica,Ločica,14.003024292,45.5973653708,4.94
9165,Klanec pri Kozini,Glinščica,13.9336202349,45.5864793082,
9170,Osp,Osapska Reka,13.8631833099,45.5709510901,
9180,Osp I,Osapska Reka,13.860125054,45.5701106686,
9190,Osp,Gabroviški potok,13.8603903725,45.5696633505,
9200,Bezovica,Rižana,13.8890091179,45.528368122,
9210,Kubed II,Rižana,13.8807884865,45.5329135668,204.66
9220,Kubed I,Rižana,13.8794288638,45.5336741846,
9230,Kubed,Rižana,13.8770089066,45.5330204584,204.86
9240,Dekani,Rižana,13.817905916,45.5431873652,253.41
9250,Škofije,Rižana,13.7885093897,45.5576743485,
9260,Bezovica,Hrastovski potok,13.8909204902,45.5288366686,
9270,Bezovica-zajetje,Hrastovski potok,13.8940422407,45.5263470997,13.23
9275,Šalara,Badaševica,13.7510125582,45.5253045785,21.3
9278,Pišine,Drnica,13.6545454335,45.4649203329,29.07
9280,Pišine I,Drnica,13.64346345,45.466247165,29.78
9290,Planjave,Dragonja,,,
9300,Podkaštel I,Dragonja,13.659050226,45.4529319336,93.16
9320,Škrline,Pinjevec,13.7563100437,45.4725534898,20.15
