gauge_id,station_name,river,latitude,longitude,area,altitude,source,country
0-203-1-096000,Dolní Bukovina,Zábrdka,50.5365634,14.9373883,66.4,,CHMI Open Data,Czech Republic
0-203-1-246500,Kryštofovy Hamry,Přísečnice,50.4934674,13.1318358,46.95,,CHMI Open Data,Czech Republic
0-203-1-123500,Pilař-Majdaléna,Zlatá stoka,48.9484315,14.8783201,0.07,,CHMI Open Data,Czech Republic
0-203-1-080000,Nymburk,Labe,50.1828464,15.0415424,9720.74,,CHMI Open Data,Czech Republic
0-203-1-321620,Smědava I.,Bílá Smědá,50.8460384,15.2697976,3.66,,CHMI Open Data,Czech Republic
0-203-1-187900,Klabava,Klabava,49.7504528,13.5460368,329.0,,CHMI Open Data,Czech Republic
0-203-1-414000,Velehrad,Salaška,49.1027657,17.3934646,34.51,,CHMI Open Data,Czech Republic
0-203-1-172900,Kladruby,Úhlavka,49.696323,12.9660678,266.68,,CHMI Open Data,Czech Republic
0-203-1-191400,Podmokly,Zbirožský potok,49.9438265,13.7456041,151.26,,CHMI Open Data,Czech Republic
0-203-1-233500,Brenná,Ploučnice,50.6519381,14.6279148,396.81,,CHMI Open Data,Czech Republic
0-203-1-325000,Předlánce,Bulovský potok,50.9712698,15.0403581,39.71,,CHMI Open Data,Czech Republic
0-203-1-116500,Lékařova Lhota,Bezdrevský potok,49.0762989,14.2628694,123.8,,CHMI Open Data,Czech Republic
0-203-1-044000,Tržek,Desná,49.8825038,16.2595894,102.83,,CHMI Open Data,Czech Republic
0-203-1-191200,Uhrovic mlýn,Javornice,49.9943741,13.6246587,87.12,,CHMI Open Data,Czech Republic
0-203-1-178700,Havlovice,Zubřina,49.4315997,12.8930463,17.88,,CHMI Open Data,Czech Republic
0-203-1-215100,Kadaň,Ohře,50.3692781,13.2794192,3478.64,,CHMI Open Data,Czech Republic
0-203-1-233800,Cvikov,Boberský potok,50.774453,14.6387562,24.5,,CHMI Open Data,Czech Republic
0-203-1-243000,Všemily,Chřibská Kamenice,50.8375869,14.3715397,61.76,,CHMI Open Data,Czech Republic
0-203-1-193000,Lány-Městečko,Klíčava,50.0829515,13.9023311,55.48,,CHMI Open Data,Czech Republic
0-203-1-180400,Hamry-V lipách,Úhlava,49.2257713,13.162975,39.1,,CHMI Open Data,Czech Republic
0-203-1-351000,Šumperk náhon,Krenišovský náhon,49.9630025,16.9961709,0.3,,CHMI Open Data,Czech Republic
0-203-1-350000,Šumperk tok,Desná,49.9636659,16.997086,247.15,,CHMI Open Data,Czech Republic
0-203-1-437000,Trávní Dvůr,Dyje,48.7908914,16.4375418,3524.62,,CHMI Open Data,Czech Republic
0-203-1-346000,Kouty nad Desnou,Desná,50.0999837,17.111383,43.25,,CHMI Open Data,Czech Republic
0-203-1-191000,Liblín,Berounka,49.9193518,13.5459345,6455.15,,CHMI Open Data,Czech Republic
0-203-1-126000,Oldřiš,Hamerský potok,49.1511881,15.1060718,209.06,,CHMI Open Data,Czech Republic
0-203-1-422000,Strážnice,Velička,48.904379,17.3434442,172.8,,CHMI Open Data,Czech Republic
0-203-1-035000,Ústí nad Orlicí,Třebovka,49.9538326,16.4148812,174.19,,CHMI Open Data,Czech Republic
0-203-1-028800,Skuhrov,Bělá,50.2279373,16.2917051,52.85,,CHMI Open Data,Czech Republic
0-203-1-453000,VD Letovice,Křetínka,49.5534383,16.558652,126.29,,CHMI Open Data,Czech Republic
0-203-1-402000,Prusy,Moštěnka,49.4281617,17.5150139,230.0,,CHMI Open Data,Czech Republic
0-203-1-200580,Praha-Petrovice,Botič,50.0307747,14.55701,87.44,,CHMI Open Data,Czech Republic
0-203-1-360000,Hraničky,Třebůvka,49.7179637,16.7963281,425.93,,CHMI Open Data,Czech Republic
0-203-1-194500,Zbečno,Berounka,50.0403004,13.9202376,7519.19,,CHMI Open Data,Czech Republic
0-203-1-474000,Oslavany,Oslava,49.1159375,16.3436496,862.22,,CHMI Open Data,Czech Republic
0-203-1-438000,VD Jevišovice,Jevišovka,48.9917035,15.9844397,139.95,,CHMI Open Data,Czech Republic
0-203-1-178500,Tasnovice,Radbuza,49.5662177,12.8355408,172.36,,CHMI Open Data,Czech Republic
0-203-1-113000,Římov,Malše,48.8631211,14.4971498,493.7,,CHMI Open Data,Czech Republic
0-203-1-385000,Solanec,Hutiský potok,49.4229994,18.2202083,10.56,,CHMI Open Data,Czech Republic
0-203-1-037000,Týniště nad Orlicí,Orlice,50.1485624,16.0669852,1556.4,,CHMI Open Data,Czech Republic
