gauge_id,station_name,river,latitude,longitude,altitude,area,country,source,provider,vertical_datum
K04_016,Puurs/Pompstation,Grote Molenbeek,51.0963518529529,4.31920687043843,,,Belgium,Flemish Environment Agency - VMM,vmm,
K04_020,Verrebroek/Pompstation,Noordzuid Verbinding,51.2422410540127,4.20445076380531,,,Belgium,Flemish Environment Agency - VMM,vmm,
K04_030,Melsele/Pompstation Keetberg,Waterloop van de Hoge Landen,51.243803170231,4.26709818690359,,,Belgium,Flemish Environment Agency - VMM,vmm,
K04_540,Niel/Pompstation,Wullebeek,51.1155793056815,4.3141883695884,,,Belgium,Flemish Environment Agency - VMM,vmm,
K04_MQ45,Albertdok,Zeeschelde,51.2914621908115,4.31336706809401,,,Belgium,Flemish Environment Agency - VMM,vmm,
K04_OW002,Doel/Pompstation,Doorloop,51.3173555905961,4.26235272082977,,,Belgium,Flemish Environment Agency - VMM,vmm,
K06_221,Etikhove/Schuif,Nederaalbeek,50.8079016788569,3.62669814497067,,,Belgium,Flemish Environment Agency - VMM,vmm,
K06_301,Opbrakel/Schuif_WBMaaistraat,Molenbeek,50.7860947284482,3.7335884579462,,,Belgium,Flemish Environment Agency - VMM,vmm,
K06_302,Opbrakel/Schuif_WBLeizemooie,Molenbeek,50.798205605696,3.75067437466501,,,Belgium,Flemish Environment Agency - VMM,vmm,
K07_102,St-Pieters-Kapelle/Stuw9bis GOG SPK,Mark,50.7060447741074,4.01966617947886,,,Belgium,Flemish Environment Agency - VMM,vmm,
K07_111,Galmaarden/Stuw4 Driescaertmolen,Mark,50.7533077412169,3.96309879281035,,,Belgium,Flemish Environment Agency - VMM,vmm,
K08_001,Neerijse/Ijse,Ijse,50.8174166379733,4.63464677538963,,,Belgium,Flemish Environment Agency - VMM,vmm,
K08_010,Egenhoven/Zijloop C,Dijle,50.8518837335343,4.66171907578719,,,Belgium,Flemish Environment Agency - VMM,vmm,
K08_011,Egenhoven/Zijloop C,Dijle,50.8585775375638,4.67014637556625,,,Belgium,Flemish Environment Agency - VMM,vmm,
K08_013,Leuven/Dijle,Dijle,50.8698519834074,4.69408287249913,,,Belgium,Flemish Environment Agency - VMM,vmm,
K08_014,Leuven/Voer-Vloput,Voer,50.8719935905484,4.6910488867977,,,Belgium,Flemish Environment Agency - VMM,vmm,
K08_015,Leuven/Dijle1e arm,Dijle,50.8737937566411,4.69767208711678,,,Belgium,Flemish Environment Agency - VMM,vmm,
K08_016,Leuven/Dijle,Dijle,50.8730613234847,4.69631297940082,,,Belgium,Flemish Environment Agency - VMM,vmm,
K08_017,Leuven/Dijle 4e arm,Dijle Vierde Arm,50.8862339983559,4.69907394665847,,,Belgium,Flemish Environment Agency - VMM,vmm,
