,gauge_id,station_name,river,altitude,area,xrkko08,yhkko09,latitude,longitude
676,211730,Eppenstein,Granitzenbach,708.15,153.1,506625.51,360285.45,47.13350956786467,14.738575287106194
677,211920,Hammerjäger,Ingeringbach,748.95,198.5,507561.42,373430.42,47.25161190818492,14.754076054361484
678,211169,Kammern im Liesingtal,Liesing,647.88,265.6,518684.97,388821.88,47.3881489402711,14.905146349031066
679,211185,Leoben,Mur,531.24,4391.9,532936.24,387889.39,47.377016176339346,15.09363104490618
680,211193,St. Peter-Freienstein,Vordernberger Bach,595.02,167.3,528323.14,389720.43,47.39440950172341,15.033070109181539
681,211227,Neuberg an der Mürz,Mürz,715.45,231.5,569715.11,419906.92,47.65644679150747,15.592918159434259
682,211243,Kindtal,Mürz,569.84,727.7,561189.41,405210.69,47.52644351942638,15.474044605206307
683,211862,Edelsdorf,Stanzbach,598.25,78.0,560848.7,399588.06,47.47595797780927,15.467472010321243
684,211250,Hansenhütte,Thörlbach,541.75,324.2,544774.62,398789.19,47.472540556450426,15.253957831718914
685,211268,Kapfenberg-Diemlach,Mürz,485.94,1364.5,546217.31,394211.1,47.4310403267482,15.271583336772597
686,211276,Arndorf,Laming,502.5,153.4,545082.26,393728.94,47.4269568007477,15.256379668049519
687,211292,Bruck an der Mur unter Mürz,Mur,468.14,6214.0,546974.27,391881.56,47.4099168383807,15.280844162698699
688,211649,Deutschfeistritz,Übelbach,397.12,117.8,552099.33,368833.42,47.20143381543723,15.340869665630512
689,211763,Friesach,Mur,379.7,6791.5,550462.85,364625.88,47.16396568209122,15.317855170352368
690,211326,Graz,Mur,341.28,6993.3,559436.5,355340.58,47.07832873944502,15.432894069521643
691,211573,Graz mit MK (Summenpegel),Mur mit Mühlkanal,341.28,6993.3,559431.22,355350.58,47.07841996629665,15.432828103229637
692,211847,Mellach,Mur,291.22,7295.5,564531.87,335885.82,46.90208952850136,15.492870061749118
693,211870,Mellach mit MK (Summenpegel),Mur mit Mühlkanal,290.8,7295.5,564531.87,335885.82,46.90208952850136,15.492870061749118
694,211334,Voitsberg,Kainach,389.23,210.5,537989.19,351354.15,47.04732576066676,15.149252624603365
695,211953,Hitzendorf,Liebochbach,358.73,50.0,549701.9,349186.92,47.025268256306084,15.302664944008363
696,211342,Lieboch,Kainach,319.23,767.1,553157.6,341527.77,46.95557984963375,15.345514987109146
697,211896,Gerbersdorf,Stiefing,296.92,80.0,570838.81,335783.27,46.89956202324989,15.575593671353628
698,211391,Wies,Weiße Sulm,328.3,69.9,548264.02,315033.63,46.7183857698366,15.272552246199869
699,211383,Schwanberg,Schwarze Sulm,402.48,75.2,542955.93,319067.91,46.755843586843895,15.204396783493925
700,214783,Prarath,Sulm,299.76,186.7,553737.95,317261.11,46.737171387272724,15.344895715704343
701,211961,Hörmsdorf,Saggaubach,345.14,56.0,547701.82,312561.1,46.69627124258212,15.264396718064937
702,211656,Gündorf,Saggaubach,289.88,201.9,558525.24,315460.05,46.719840825380366,15.40689834428401
703,211664,Frauental (Laßnitz),Laßnitz,323.4,85.1,547060.17,326937.36,46.82572890185582,15.260664275119304
704,211797,Wettmannstätten,Laßnitz,289.7,216.4,556296.04,328212.09,46.83507188507179,15.38213614862897
705,211854,Wieselsdorf,Stainzbach,290.13,144.8,555308.56,330150.47,46.8527402630621,15.369858475895777
706,211805,Zehndorf,Gleinzbach,287.01,37.8,558695.44,328473.83,46.83685334335524,15.413676107710835
707,211441,Tillmitsch,Laßnitz,272.15,480.4,566416.85,325849.63,46.81134799213131,15.51391388637771
708,211458,Leibnitz,Sulm,262.98,1102.5,567513.35,322393.56,46.77998598247792,15.527001483353379
709,211466,Spielfeld,Mur,244.07,9480.0,576204.31,314761.28,46.70908084583723,15.637823716358241
710,211474,Lipsch,Schwarzaubach,257.87,124.2,578028.41,320878.8,46.763611520736745,15.664070154728316
711,211490,Mureck (Schreibpegel),Mur,224.23,9769.9,587969.79,315372.23,46.711335104886714,15.791897614235557
712,211516,Mureck mit Ausleitung (Summenpegel),Mur mit Ausleitung,224.23,9769.9,587969.79,315372.23,46.711335104886714,15.791897614235557
713,211508,Fluttendorf,Gnasbach,222.88,119.3,592345.19,317736.42,46.73133784549942,15.850102822401048
714,202523,Arnbach,Drau,1107.73,162.1,326678.25,316194.98,46.741322859126335,12.372953176213358
715,212225,Ausservillgraten,Winkeltalbach,1256.56,62.2,331113.18,321186.2,46.786709619021465,12.430233910856689
716,212027,Rabland,Drau,1070.98,374.0,332309.01,316695.07,46.74642626746403,12.446571253611847
717,231092,Lienz-Falkensteinsteg,Drau,679.87,668.0,356290.18,324411.05,46.81788583340655,12.7597201610336
718,212043,Hinterbichl,Isel,1327.14,107.0,324322.56,346682.37,47.01535397321137,12.336992554252843
719,212050,Hinterbichl (Mühle),Dorferbach,1335.95,35.0,324471.92,347094.45,47.019078760895525,12.338887784457969
720,212233,Hinterbichl (Mühle) (Summenpegel),Dorferbach und KW-Einzug,1335.95,35.0,324471.92,347094.45,47.019078760895525,12.338887784457969
721,212183,Waier,Isel,930.75,285.3,338704.63,344133.14,46.99392408078577,12.526541294783375
722,212068,Innergschlöß,Gschlössbach,1686.16,39.3,333144.63,358646.39,47.12395853054916,12.451255099168023
723,212076,Matreier Tauernhaus,Tauernbach,1502.29,59.9,336445.36,357955.42,47.118071585253766,12.494864240626558
724,212084,Prossegg,Tauernbach,939.05,197.2,339013.83,346465.13,47.01493474494145,12.530289202910371
725,212092,Brühl,Isel,919.58,518.4,340459.42,342058.72,46.97542189193056,12.549892723506208
726,212100,Hopfgarten im Def. Zwenewald,Schwarzach,1096.27,268.6,337477.81,335659.34,46.917566251688434,12.511591258763108
727,212118,Spöttling,Dorfer Bach,1486.78,47.0,346717.98,347571.99,47.02556739343609,12.631507413036692
728,212126,Spöttling-Taurer,Teischnitzbach,1491.09,13.9,346896.16,347573.04,47.02559135523476,12.633851765212661
729,212159,St. Johann im Walde (Brücke),Isel,744.14,1077.8,346420.04,334115.9,46.90447220268499,12.629198055591047
730,212167,Lienz,Isel,667.2,1198.7,356796.69,325941.18,46.83168693717962,12.7662118157788
731,212316,Lienz-Peggetz,Drau,661.43,1876.2,358154.69,325136.69,46.824536674086964,12.784090513929474
