gauge_id,gauge_name,river,area,gauge_altitude,latitude,longitude
149210020,GORLICE,Sękówka (21826),122.21,279.285,49.65481361111111,21.170145277777777
149210030,KLĘCZANY,Ropa (2182),484.09,259.237,49.701344444444445,21.216713055555555
149210040,ŁABUZIE,Wisłoka (218),2550.72,184.8,49.98784083333334,21.309809444444443
149210050,KRAJOWICE,Wisłoka (218),2094.08,213.516,49.772084166666666,21.412441666666663
149210060,TOPOLINY,Ropa (2182),973.11,224.913,49.72485861111111,21.44319583333333
149210070,ŻÓŁKÓW,Wisłoka (218),582.93,225.014,49.730089166666666,21.45924083333333
149210080,JASŁO,Jasiołka (2184),512.19,220.657,49.75022555555555,21.47311111111111
149210090,KREMPNA-KOTAŃ,Wisłoka (218),162.84,371.313,49.51521888888889,21.482995555555554
149210100,ZBOISKA,Jasiołka (2184),263.98,311.682,49.57448277777778,21.69831027777778
149210110,KROSNO,Wisłok (226),590.93,256.92,49.69387222222222,21.7746375
149210120,GODOWA,Stobnica (2264),329.0,216.151,49.84867305555556,21.811575
149210130,ŻARNOWA,Wisłok (226),1432.68,213.569,49.87768416666667,21.81752472222222
149210140,ISKRZYNIA,Morwawa (2262),108.01,266.385,49.67713416666666,21.86437666666667
149210150,PUŁAWY,Wisłok (226),129.62,386.023,49.48998055555556,21.906741944444445
149210160,SIENIAWA,Wisłok (226),207.35,305.474,49.56763972222223,21.930074722222223
149210170,WOLA SĘKOWA,Pielnica (22618),7.04,447.485,49.49230833333333,21.98725305555556
149219993,BESKO,Wisłok (226),211.98,284.22,49.58709222222223,21.95372861111111
149219994,STASIANIE,Jasiołka (2184),119.04,ND,49.46633527777778,21.732018888888888
149219995,JEDLICZE,Jasiołka (2184),343.55,249.85,49.70966777777778,21.638122777777777
149219996,NOWY ŻMIGRÓD,Wisłoka (218),341.88,275.671,49.60886611111111,21.523915555555558
149219997,KREMPNA,Wisłoka (218),165.78,365.16,49.50480083333333,21.492998611111112
149219998,SIEPIETNICA,Olszynka (21828),142.37,239.47,49.75947083333333,21.29733416666667
149219999,BRUNARY,Biała (2148),79.04,407.57,49.53515861111111,21.029387777777774
149220010,NOWOSIELCE,Pielnica (22618),38.64,301.943,49.56693333333334,22.07074777777778
149220020,SZCZAWNE,Osława (222),300.52,392.999,49.40349,22.15033972222222
149220030,OLCHOWCE,San (22),2242.58,283.78,49.556135,22.21859111111111
149220040,DYNÓW,San (22),2943.79,234.906,49.80067972222222,22.24418555555556
149220050,ZAGÓRZ,Osława (222),502.8,299.073,49.51340027777778,22.26876055555556
149220060,LESKO,San (22),1615.67,315.851,49.46904333333333,22.32225888888889
149220070,HOCZEW,Hoczewka (2218),169.06,331.058,49.42399388888889,22.328373888888887
149220080,CISNA,Solinka (22134),72.55,543.871,49.21319861111112,22.333159444444444
149220090,MYCZKOWCE,San (22),1259.24,335.555,49.43302888888888,22.407370277777776
149220100,TERKA,Solinka (22134),308.93,434.36,49.29978833333333,22.429085
149220110,KALNICA,Wetlina (221346),118.91,573.014,49.18899777777777,22.42914777777778
149220120,SOLINA,San (22),1186.57,366.188,49.38735388888889,22.457071944444444
149220130,ZATWARNICA,San (22),493.73,485.741,49.23486833333333,22.56300805555556
149220140,POLANA,Czarna (22132),94.27,437.412,49.30242277777778,22.574213611111112
149220150,DWERNIK,San (22),417.8,512.061,49.21863138888889,22.632661388888888
149220160,RYBOTYCZE,Wiar (224),167.83,286.966,49.65452555555555,22.638215
149220170,KROŚCIENKO,Strwiąż (76),194.32,400.869,49.4731325,22.662747777777778
149220180,STUPOSIANY,Wołosaty (22114),116.99,544.66,49.18581222222222,22.683576666666667
149220190,PRZEMYŚL,San (22),3685.86,190.521,49.78479861111111,22.76729611111111
149220200,KRÓWNIKI,Wiar (224),785.92,191.473,49.767069166666666,22.822979166666663
149220210,NIENOWICE,Wisznia (2252),1188.17,178.842,49.937710555555554,22.916815
149229993,SOŚNICA,San (22),4636.77,180.386,49.89852611111111,22.8924775
149229994,RADYMNO,San (22),5877.47,176.504,49.95594222222223,22.845259166666665
149229995,LESZCZAWA,Stupnica (2236),34.21,292.57,49.66535638888889,22.43328555555556
149229996,ZARZECZE,Mleczka Wschodnia (22688),178.27,194.292,49.98469583333333,22.537628611111117
149229997,BRZUSKA,Stupnica (2236),171.8,222.56,49.7568475,22.490280833333333
149229998,KAŃCZUGA,Mleczka (2268),138.26,194.341,49.98000277777778,22.42068388888889
149229999,MANASTERZ,Mleczka (2268),76.15,217.896,49.92747055555555,22.337615
149230020,BUDZYŃ,Szkło (2254),607.34,195.067,49.9847875,23.122196944444443
150140010,PORAJÓW,Nysa Łużycka (174),384.91,228.168,50.88723638888889,14.821476388888888
150140020,SIENIAWKA,Nysa Łużycka (174),693.33,225.103,50.896475555555554,14.836915555555557
150140030,TUROSZÓW,Miedzianka (17416),67.38,218.039,50.93878888888889,14.917679166666666
150140100,BOGATYNIA,Miedzianka (17416),25.74,290.437,50.892355555555554,14.994929166666664
150150010,MIRSK,Kwisa (166),183.89,325.445,50.98938305555556,15.383769444444445
150150020,MIRSK,Czarny Potok (16632),56.14,329.106,50.986558333333335,15.383816944444444
150150030,JAKUSZYCE,Kamienna (162),5.93,849.671,50.82254611111112,15.43986638888889
150150040,BARCINEK,Kamienica (163332),95.59,321.859,50.943776666666665,15.603798888888887
150150050,PIECHOWICE,Kamienna (162),98.3,384.512,50.85006194444445,15.588251666666666
150150060,PILCHOWICE,Bóbr (16),1207.45,238.876,50.96386222222223,15.640562777777776
150150070,JELENIA GÓRA,Kamienna (162),255.93,326.291,50.898626666666665,15.722135
150150080,JELENIA GÓRA,Bóbr (16),1048.26,322.365,50.910962222222224,15.721509166666667
150150090,ŁOMNICA,Łomnica (1618),116.7,345.74,50.876401666666666,15.803078611111111
150150100,WOJANÓW,Bóbr (16),535.53,348.806,50.87051722222223,15.82683138888889
150150110,KOWARY,Jedlica (16188),18.42,452.795,50.79471166666666,15.834073333333334
150150120,BUKÓWKA,Bóbr (16),57.69,507.73,50.71279583333334,15.957377777777776
150150130,BŁAŻKOWA,Bóbr (16),103.54,465.376,50.739515,15.9863275
150150190,PODGÓRZYN,Podgórna (16288),34.67,399.56,50.82041194444445,15.683492222222222
150150200,SOSNÓWKA,Sośniak (16288832),4.23,377.782,50.82216444444445,15.719200555555556
150159996,BŁAŻKOWA,Świdnik (1612),37.39,462.635,50.74420666666667,15.986934166666666
150159997,MISZKOWICE,Złotna (161152),23.42,538.009,50.71439,15.928925833333333
150159998,OPAWA,Bóbr (16),14.58,536.538,50.696286388888886,15.921961944444444
150159999,CIEPLICE ŚLĄSKIE,Wrzosówka (1628),96.51,334.913,50.86499,15.690059444444444
150160010,KAMIENNA GÓRA,Bóbr (16),189.84,436.121,50.78627555555556,16.03608666666667
150160020,ŚWIEBODZICE,Pełcznica (13486),88.84,276.4,50.860365,16.313602222222222
150160030,CHWALISZÓW,Strzegomka (1348),67.17,299.762,50.87784694444444,16.233046388888887
150160040,KUDOWA-ZDRÓJ-ZAKRZE,Klikawa (946),48.59,374.684,50.43094222222222,16.243974444444447
150160050,WAŁBRZYCH-PODGÓRZE,Pełcznica (13486),3.04,492.331,50.73839916666667,16.284114444444445
150160060,JUGOWICE,Bystrzyca (134),121.39,367.376,50.73310472222222,16.403220833333332
150160070,LUBACHÓW,Bystrzyca (134),155.36,298.423,50.76582444444445,16.43105611111111
150160080,TŁUMACZÓW,Ścinawka (122),255.97,340.263,50.552032777777775,16.436207500000002
150160090,ŁAŻANY,Strzegomka (1348),362.3,182.465,50.95300972222223,16.49261166666667
150160100,GORZUCHÓW,Ścinawka (122),513.47,294.367,50.48515305555556,16.571170555555554
150160110,SZALEJÓW DOLNY,Bystrzyca Dusznicka (1218),173.37,303.914,50.41976222222222,16.604740000000003
150160120,KRASKÓW,Bystrzyca (134),679.13,176.425,50.91556611111111,16.58377611111111
150160130,MOŚCISKO,Piława (1344),291.0,235.467,50.78192083333333,16.584039999999998
150160140,DZIERŻONIÓW,Piława (1344),125.11,252.899,50.72596333333333,16.646156666666666
